"target.id.oclc","target.title","target.location.name","target.location.coordinates","source.id.oclc","source.location.name","source.location.coordinates","article.count","issue.count","target.title.transliterated"
NA,"النعمة",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"aln3m0"
NA,"النوفل",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"alnwfl"
NA,"الورلد",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"alwrld"
NA,"الوطن","Bayrūt","33.88894, 35.49442",644997575,"Dimashq","33.5102, 36.29128",2,2,"alwTn"
NA,"ترجمان",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"trjman"
NA,"ترقي",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"trQy"
NA,"ترك",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"trk"
NA,"تصوير أفكار",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"tSwyr afkar"
NA,"ثروت فنون",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"Urwt fnwn"
NA,"زميندار",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"zmyndar"
NA,"شهبال",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"Whbal"
NA,"صراط مستقيم",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"SraT mstQym"
NA,"طبيب العائلة",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,1,"Tbyb al3a5l0"
NA,"طنين",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"Tnyn"
NA,"فتى العرب",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,1,"ftA al3rb"
NA,"مجلة الجامعة المصرية",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"mjl0 aljam30 almSry0"
NA,"مجلة الطبيعة",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"mjl0 alTby30"
NA,"مجلة العالمين",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"mjl0 al3almyn"
NA,"مجلة العلم الاجتماعي",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,2,"mjl0 al3lm alajtma3y"
NA,"مقتبس",NA,NA,4770057679,"al-Qāhira","30.06263, 31.24967",2,2,"mQtbs"
NA,"مقتبس",NA,NA,4770057679,"Dimashq","33.5102, 36.29128",2,1,"mQtbs"
NA,"مكارم الأخلاق",NA,NA,644997575,"Dimashq","33.5102, 36.29128",2,1,"mkarm alaKlaQ"
NA,"نوفي فريميه",NA,NA,1588981,"al-Qāhira","30.06263, 31.24967",2,2,"nwfy frymyh"
1588981,"المنار","al-Qāhira","30.06263, 31.24967",472450345,"Baghdād","33.34058, 44.40088",1,1,"almnar"
1681243,"مجلة العالم الإسلامي","Paris","48.85341, 2.3488",472450345,"Baghdād","33.34058, 44.40088",1,1,"mjl0 al3alm alaslamy"
19000299,"مجلة المجلات الأمريكية","New York City","40.71427, -74.00597",4770057679,"al-Qāhira","30.06263, 31.24967",1,1,"mjl0 almjlat alamryky0"
